Province,City,Location,Date,Weight
安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-21,0.8
安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-22,0.482
安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-23,0.108
安徽省,合肥市,中国工商银行（工行巷支行）,2020-01-24,0.009
安徽省,合肥市,中科大一附院,2020-01-15,0.8
安徽省,合肥市,中科大一附院,2020-01-16,0.482
安徽省,合肥市,中科大一附院,2020-01-17,0.108
安徽省,合肥市,中科大一附院,2020-01-18,0.009
安徽省,合肥市,中科大一附院,2020-01-29,0.8
安徽省,合肥市,中科大一附院,2020-01-30,1.282
安徽省,合肥市,中科大一附院,2020-01-31,0.59
安徽省,合肥市,中科大一附院,2020-02-01,0.917
安徽省,合肥市,中科大一附院,2020-02-02,0.491
安徽省,合肥市,中科大一附院,2020-02-03,0.108
安徽省,合肥市,中科大一附院,2020-02-04,0.009
安徽省,合肥市,南门客运换乘中心,2020-01-21,0.8
安徽省,合肥市,南门客运换乘中心,2020-01-22,0.482
安徽省,合肥市,南门客运换乘中心,2020-01-23,0.108
安徽省,合肥市,南门客运换乘中心,2020-01-24,0.009
安徽省,合肥市,合肥南站,2020-01-15,0.8
安徽省,合肥市,合肥南站,2020-01-16,1.282
安徽省,合肥市,合肥南站,2020-01-17,0.59
安徽省,合肥市,合肥南站,2020-01-18,0.11699999999999999
安徽省,合肥市,合肥南站,2020-01-19,0.809
安徽省,合肥市,合肥南站,2020-01-20,1.282
安徽省,合肥市,合肥南站,2020-01-21,2.1900000000000004
安徽省,合肥市,合肥南站,2020-01-22,1.081
安徽省,合肥市,合肥南站,2020-01-23,0.22499999999999998
安徽省,合肥市,合肥南站,2020-01-24,0.018
安徽省,合肥市,合肥新桥机场,2020-01-17,0.8
安徽省,合肥市,合肥新桥机场,2020-01-18,0.482
安徽省,合肥市,合肥新桥机场,2020-01-19,0.108
安徽省,合肥市,合肥新桥机场,2020-01-20,0.009
安徽省,合肥市,合肥新桥机场,2020-01-21,1.6
安徽省,合肥市,合肥新桥机场,2020-01-22,0.964
安徽省,合肥市,合肥新桥机场,2020-01-23,0.216
安徽省,合肥市,合肥新桥机场,2020-01-24,0.018
安徽省,合肥市,合肥父母家,2020-01-21,0.8
安徽省,合肥市,合肥父母家,2020-01-22,0.482
安徽省,合肥市,合肥父母家,2020-01-23,0.108
安徽省,合肥市,合肥父母家,2020-01-24,0.009
安徽省,合肥市,同大镇施丰村,2020-01-24,0.8
